,gt,lt,td
0,2020-06-01 12:31:35,卫星定位,12920
1,2020-06-16 11:09:20,正在定位,12423
2,2020-06-16 11:28:06,正在定位,12423
3,2020-06-16 11:37:26,正在定位,12423
4,2020-06-16 11:46:45,正在定位,12423
5,2020-06-16 11:56:00,正在定位,12423
6,2020-06-16 12:05:16,正在定位,12423
7,2020-06-16 12:14:34,正在定位,12423
8,2020-06-16 12:23:52,正在定位,12423
9,2020-06-16 12:33:08,正在定位,12423
10,2020-06-16 12:42:26,正在定位,12423
11,2020-06-16 12:51:46,正在定位,12423
12,2020-06-16 13:01:04,正在定位,12423
13,2020-06-16 13:10:21,正在定位,12423
14,2020-06-16 13:19:35,正在定位,12423
15,2020-06-16 13:28:54,正在定位,12423
16,2020-06-16 13:38:09,正在定位,12423
17,2020-06-16 13:47:27,正在定位,12423
18,2020-06-16 13:56:47,正在定位,12423
19,2020-06-16 14:06:05,正在定位,12423
20,2020-06-16 14:15:25,正在定位,12423
21,2020-06-16 14:24:38,正在定位,12423
22,2020-06-16 14:33:54,正在定位,12423
23,2020-06-16 14:43:14,正在定位,12423
24,2020-06-16 14:52:32,正在定位,12423
25,2020-06-16 15:01:48,正在定位,12423
26,2020-06-16 15:11:05,正在定位,12423
27,2020-06-16 15:20:26,正在定位,12423
28,2020-06-16 15:29:42,正在定位,12423
29,2020-06-16 15:38:59,正在定位,12423
30,2020-06-16 15:48:18,正在定位,12423
31,2020-06-16 15:57:38,正在定位,12423
32,2020-06-16 16:06:57,正在定位,12423
33,2020-06-16 16:16:15,正在定位,12423
34,2020-06-16 16:18:16,卫星定位,12423
35,2020-06-16 16:18:26,卫星定位,12423
36,2020-06-16 16:18:36,卫星定位,12423
37,2020-06-16 16:18:46,卫星定位,12423
38,2020-06-16 16:18:56,卫星定位,12423
39,2020-06-16 16:19:06,卫星定位,12423
40,2020-06-16 16:19:16,卫星定位,12423
41,2020-06-16 16:19:26,卫星定位,12423
42,2020-06-16 16:19:36,卫星定位,12423
43,2020-06-16 16:19:46,卫星定位,12423
44,2020-06-16 16:19:56,卫星定位,12423
45,2020-06-16 16:20:06,卫星定位,12423
46,2020-06-16 16:20:16,卫星定位,12423
47,2020-06-16 16:20:26,卫星定位,12423
48,2020-06-16 16:20:36,卫星定位,12423
49,2020-06-16 16:20:46,卫星定位,12423
50,2020-06-16 16:20:56,卫星定位,12423
51,2020-06-16 16:21:06,卫星定位,12424
52,2020-06-16 16:21:16,卫星定位,12424
53,2020-06-16 16:21:26,卫星定位,12424
54,2020-06-16 16:21:36,卫星定位,12424
55,2020-06-16 16:21:46,卫星定位,12424
56,2020-06-16 16:21:56,卫星定位,12424
57,2020-06-16 16:22:06,卫星定位,12424
58,2020-06-16 16:22:16,卫星定位,12424
59,2020-06-16 16:22:26,卫星定位,12424
60,2020-06-16 16:22:36,卫星定位,12424
61,2020-06-16 16:22:46,卫星定位,12424
62,2020-06-16 16:22:56,卫星定位,12424
63,2020-06-16 16:23:06,卫星定位,12424
64,2020-06-16 16:23:16,卫星定位,12424
65,2020-06-16 16:23:26,卫星定位,12424
66,2020-06-16 16:23:36,卫星定位,12424
67,2020-06-16 16:23:46,卫星定位,12424
68,2020-06-16 16:23:56,卫星定位,12424
69,2020-06-16 16:24:06,卫星定位,12424
70,2020-06-16 16:24:16,卫星定位,12424
71,2020-06-16 16:24:26,卫星定位,12424
72,2020-06-16 16:24:36,卫星定位,12424
73,2020-06-16 16:24:46,卫星定位,12424
74,2020-06-16 16:24:56,卫星定位,12424
75,2020-06-16 16:25:06,卫星定位,12424
76,2020-06-16 16:25:16,卫星定位,12424
77,2020-06-16 16:25:26,卫星定位,12424
78,2020-06-16 16:25:36,卫星定位,12425
79,2020-06-16 16:25:56,卫星定位,12425
80,2020-06-16 16:26:06,卫星定位,12425
81,2020-06-16 16:26:16,卫星定位,12425
82,2020-06-16 16:26:26,卫星定位,12425
83,2020-06-16 16:26:46,卫星定位,12425
84,2020-06-16 16:26:56,卫星定位,12426
85,2020-06-16 16:27:06,卫星定位,12426
86,2020-06-16 16:27:16,卫星定位,12426
87,2020-06-16 16:27:26,卫星定位,12426
88,2020-06-16 16:27:36,卫星定位,12426
89,2020-06-16 16:27:46,卫星定位,12426
90,2020-06-16 16:27:56,卫星定位,12427
91,2020-06-16 16:28:06,卫星定位,12427
92,2020-06-16 16:28:16,卫星定位,12427
93,2020-06-16 16:28:26,卫星定位,12427
94,2020-06-16 16:28:46,卫星定位,12427
95,2020-06-16 16:28:56,卫星定位,12427
96,2020-06-16 16:29:06,卫星定位,12427
97,2020-06-16 16:29:16,卫星定位,12427
98,2020-06-16 16:29:36,卫星定位,12427
99,2020-06-16 16:29:46,卫星定位,12427
100,2020-06-16 16:29:56,卫星定位,12427
101,2020-06-16 16:30:06,卫星定位,12427
102,2020-06-16 16:30:16,卫星定位,12427
103,2020-06-16 16:30:26,卫星定位,12427
104,2020-06-16 16:30:36,卫星定位,12428
105,2020-06-16 16:30:46,卫星定位,12428
106,2020-06-16 16:30:56,卫星定位,12428
107,2020-06-16 16:31:06,卫星定位,12428
108,2020-06-16 16:31:16,卫星定位,12428
109,2020-06-16 16:31:26,卫星定位,12428
110,2020-06-16 16:31:36,卫星定位,12428
111,2020-06-16 16:32:26,卫星定位,12429
112,2020-06-16 16:32:46,卫星定位,12429
113,2020-06-16 16:32:56,卫星定位,12430
114,2020-06-16 16:33:06,卫星定位,12430
115,2020-06-16 16:33:16,卫星定位,12430
116,2020-06-16 16:33:26,卫星定位,12430
117,2020-06-16 16:33:36,卫星定位,12430
118,2020-06-16 16:33:46,卫星定位,12430
119,2020-06-16 16:33:56,卫星定位,12430
120,2020-06-16 16:34:06,卫星定位,12431
121,2020-06-16 16:34:16,卫星定位,12431
122,2020-06-16 16:34:26,卫星定位,12431
123,2020-06-16 16:34:36,卫星定位,12431
124,2020-06-16 16:34:46,卫星定位,12431
125,2020-06-16 16:34:56,卫星定位,12431
126,2020-06-16 16:35:06,卫星定位,12432
127,2020-06-16 16:35:16,卫星定位,12432
128,2020-06-16 16:35:26,卫星定位,12432
129,2020-06-16 16:35:36,卫星定位,12432
130,2020-06-16 16:35:46,卫星定位,12432
131,2020-06-16 16:35:56,卫星定位,12432
132,2020-06-16 16:36:06,卫星定位,12432
